z	name	symbol	group	period	mass	density	volume	atomic_radii	van_der_waals_radii	covalent_radii	melt	boil	specific_heat	electronegativity	first_ionization_energy	s_elec	p_elec	d_elec	f_elec	production	radioactive	scattering_factors	HHI_P	HHI_R
72	Hafnium	Hf	4	6	178.490005493	13.3100004196	22.3050003052	155	-1	150	2500.14990234	4876	0.143999993801	1.29999995232	6.82506990433	2	0	2	14	3	0	{'a1': 29.143999, 'c': 8.58154, 'b4': 72.028999, 'a3': 14.7586, 'a2': 15.1726, 'a4': 4.30013, 'b2': 9.5999, 'b3': 0.275116, 'b1': 1.83262}	3400	2600
80	Mercury	Hg	12	6	200.589996338	13.5335998535	32.7167015076	150	155	149	234.429992676	630	0.140000000596	2	10.4375	2	0	10	14	0.0850000008941	0	{'a1': 20.680901, 'c': 12.6089, 'b4': 38.3246, 'a3': 21.657499, 'a2': 19.0417, 'a4': 5.9676, 'b2': 8.4484, 'b3': 1.5729, 'b1': 0.545}	5500	3100
67	Holmium	Ho	0	6	164.929992676	8.79500007629	31.0333003998	175	-1	-1	1743.15002441	2993	0.165000006557	1.23000001907	6.02150011063	2	0	0	11	1.29999995232	0	{'a1': 26.9049, 'c': 4.56796, 'b4': 92.656601, 'a3': 14.5583, 'a2': 17.294001, 'a4': 3.63837, 'b2': 0.19794, 'b3': 11.4407, 'b1': 2.07051}	9500	3100
108	Hassium	Hs	8	7	267	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	NULL	0	0
53	Iodine	I	17	5	126.903999329	4.92999982834	44.0999984741	140	198	133	386.649993896	457.399993896	0.21400000155	2.66000008583	10.4512996674	2	5	10	0	0.449999988079	0	{'a1': 20.1472, 'c': 4.0712, 'b4': 66.877602, 'a3': 7.5138, 'a2': 18.9949, 'a4': 2.2735, 'b2': 0.3814, 'b3': 27.766001, 'b1': 4.347}	4900	4800
49	Indium	In	13	5	114.818000793	7.30999994278	26.8500003815	155	193	144	429.910003662	2345	0.232999995351	1.77999997139	5.78635978699	2	1	10	0	0.25	0	{'a1': 19.162399, 'c': 4.9391, 'b4': 92.802902, 'a3': 4.2948, 'a2': 18.559601, 'a4': 2.0396, 'b2': 6.3776, 'b3': 25.849899, 'b1': 0.5476}	3300	2000
77	Iridium	Ir	9	6	192.216995239	22.5599994659	14.4099998474	135	-1	137	2716.14990234	4701	0.130999997258	2.20000004768	8.96700000763	2	0	7	14	0.0010000000475	0	{'a1': 27.304899, 'c': 11.4722, 'b4': 45.001099, 'a3': 15.6115, 'a2': 16.729601, 'a4': 5.83377, 'b2': 8.86553, 'b3': 0.417916, 'b1': 1.59279}	5500	9100
19	Potassium	K	1	4	39.0983009338	0.861999988556	71.3199996948	220	275	196	336.5	1032	0.757000029087	0.819999992847	4.34066009521	1	0	0	0	20900	0	{'a1': 8.2186, 'c': 1.4228, 'b4': 41.684101, 'a3': 1.0519, 'a2': 7.4398, 'a4': 0.8659, 'b2': 0.7748, 'b3': 213.186996, 'b1': 12.7949}	1700	7200
36	Krypton	Kr	18	4	83.797996521	0.00373300001957	42.3450012207	88	202	110	115.930000305	119.930000305	0.247999995947	3	13.9996004105	0	0	0	0	0.0010000000475	0	{'a1': 17.355499, 'c': 2.825, 'b4': 39.397202, 'a3': 5.5493, 'a2': 6.7286, 'a4': 3.5375, 'b2': 16.5623, 'b3': 0.2261, 'b1': 1.9384}	0	0
57	Lanthanum	La	0	6	138.904998779	6.14499998093	36.6800003052	195	-1	169	1193.15002441	3737	0.194999992847	1.10000002384	5.57690000534	2	0	1	0	39	0	{'a1': 20.577999, 'c': 2.14678, 'b4': 133.123993, 'a3': 11.3727, 'a2': 19.599001, 'a4': 3.28719, 'b2': 0.244475, 'b3': 18.7726, 'b1': 2.94817}	9500	3100
